Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,36,0,300.0,269.0347710834228,45.33562100004929,571.8696300009469,10877.416666666666,0.3044276919870136,0.0,310,390,460,470,530,540,570,570,570,570,570
GET,/cart,63,0,48,53.159489380916405,29.074688000036986,261.7205250007828,12377.507936507936,0.5327484609772738,0.0,48,58,64,66,73,81,120,260,260,260,260
POST,/cart,73,0,78,81.41514121909918,53.74985500020557,144.7167679998529,17569.739726027397,0.6173117087514443,0.0,78,85,89,92,110,120,130,140,140,140,140
POST,/cart/checkout,23,0,54,63.76729560867281,41.90476700023282,111.01616199994169,6991.347826086957,0.19449546988059202,0.0,54,65,77,88,98,110,110,110,110,110,110
GET,/product/0PUK6V6EV0,41,0,47,63.817015463339374,31.397921000461793,323.51027699951374,8186.731707317073,0.3467093158740988,0.0,47,78,85,88,98,130,320,320,320,320,320
GET,/product/1YMWWN1N4O,40,0,37,52.595821274780974,31.693085000370047,187.47733300006075,8184.425,0.3382529910966818,0.0,37,45,50,65,110,130,190,190,190,190,190
GET,/product/2ZYFJ3GM2N,33,0,39,59.06572387886461,31.262373000572552,283.8424559995474,8197.484848484848,0.2790587176547625,0.0,39,47,60,76,90,180,280,280,280,280,280
GET,/product/66VCHSJNUP,33,0,38,57.7063115453546,30.962312999690766,271.19527199829463,8185.393939393939,0.2790587176547625,0.0,38,48,48,66,110,170,270,270,270,270,270
GET,/product/6E92ZMYYFZ,25,0,47,59.600839160048054,32.13772200069798,200.29024399991613,8140.4,0.21140811943542612,0.0,47,50,50,80,130,150,200,200,200,200,200
GET,/product/9SIQT8TOJO,40,0,42,62.00604695000038,31.73013500054367,270.0998430009349,8193.65,0.3382529910966818,0.0,44,49,69,81,110,270,270,270,270,270,270
GET,/product/L9ECAV7KIM,35,0,42,61.779568799829576,32.68820700031938,270.7226089987671,8186.342857142857,0.29597136720959655,0.0,42,48,77,84,120,170,270,270,270,270,270
GET,/product/LS4PSXUNUM,49,0,45,62.9887505716137,32.28017000037653,215.79978100089647,8146.65306122449,0.4143599140934352,0.0,45,50,80,87,140,150,220,220,220,220,220
GET,/product/OLJCESPC7Z,28,0,38,54.8290048571159,31.08662200065737,265.1379929993709,8192.964285714286,0.23677709376767725,0.0,39,45,48,56,95,110,270,270,270,270,270
POST,/setCurrency,40,0,75,105.10372630001257,56.46152100052859,346.27586000169686,10901.675,0.3382529910966818,0.0,76,110,140,140,170,240,350,350,350,350,350
,Aggregated,559,0,50,78.66979979067285,29.074688000036986,571.8696300009469,10198.32558139535,4.727085550576128,0.0,50,72,83,90,130,270,390,520,570,570,570
